initial_state,heuristic,final_state,cost,explored,time
701000056060000003040070000025010000300706000000900400000850300010000075000000900,hc,731162456265489793948375821425513187386746529179928463692857348814231675357694912,16,14,0.989730213093523
007003006009000405300080000080020090000401000003600000000007002700002600010000350,hc,417253936589146425326789871184925793792431568653678214945367182738512649216894357,11,22,1.4886955455071558
009000207080001000001006900060500040002004600100020000040090103000003400800000000,hc,679354217485271835231986964367518342592734698148629751746295183952163479813847526,14,18,1.1801223823310067
907020060000000000008090070050000043080000009000649000500001000003006008000005201,hc,937524861254167394168398572659152743481873259372649186526491735813736948749285261,18,17,1.1507716895748388
000520000090000000500090800006000040700000000000308261060000008804007090300050700,hc,243521976698487135517396842136925847782641359459378261165839428874267591329154763,15,19,1.2475513311567425
000060000130040008000002900700100600000207080080000005000503002910000700003006040,hc,298361537134945628576872914731154692659237481482698375647583962915412783823796145,16,14,0.8875123444554163
008000091000500070007060000020040030900038024000002000000000943004000008590003000,hc,248387591316594372957261486628149735971638624435752819182476943764915258593823167,10,17,1.0620884996342213
200090500009000001000784090630000000500300000000002408900000670081007000000050000,hc,286693574349521861715784392634815723528374619197962458963238675581497231472156948,17,17,1.1215516636014797
005079030600000040000000000000000480001700050070093100000010002300004500009005600,hc,725479138683152946914368275596281483231746759478593162857617892362934517149825634,11,14,0.9092105859649635
900250000030649000000003020000000800500070410691020000008100000040000070075000080,hc,968251734735649168124783925473591896582376412691428357218167549349825671675934283,12,14,0.9206794850484314
000000980020805004001000020040030500008000062500016000083000000000000706002907000,hc,657314987329865154841792623146239578298587462537416391983643215475128736162957849,15,13,0.8154940582169417
000020000000001400000630087900000004005000006017300800602700015000060030000108000,hc,856429513273851469194637287968182374325574196417396852642793715781265934539148628,10,10,0.691328614514326
020300900098600100003008060500000000000003897000402000800000002000007080017050300,hc,425391938698645127713728564574186243162953897389472156856319472943267581217854369,14,16,0.9781217583304525
032904050000007980000000000000050400300000000400002800001800200050000090060300071,hc,632984751514627984978513326187956435395481267426732819791865243253147698864392571,12,16,1.063441389725682
090100000005000000040005300200093005000008600030600100700000210020060009306000800,hc,392138564815746792647925381268493975974158623531672148754289216129367459386514837,12,19,1.1975179533492906
000400003005020700000800029003082000040060000000100008120906000090000600000004200,hc,682497153915623746734815829753382461841567392269149578128976534495831617376254289,12,16,1.07393339905191
900000005800000020107089000000070001000200009003000000000065302001820700000040590,hc,935642815846713927127589643582476431619238759473591286794965312351827764268143598,12,14,0.91200792178482
000000096008650003200000001000060007000020800405800000703510040002370000000000009,hc,147283596638651273259497481328769157976124863415835924763518742492376518581942639,14,16,1.0338915856814168
000007000080020400507960000000000000200000049170000006300040010009300000008005062,hc,432187695689523471517964238896452783253716149174839526365741814129368957748295362,10,19,1.2373997665775676
008000906009005700040001000002300040706080230000072005020040000000000481007000000,hc,258847936679235714143691825592361647716985238834472195921548362365729481487136579,14,15,0.9384688341945093
008000006020050104000002030000095000080701090600000070050400001000600020090000700,hc,158374286923956174746812935374295518285741396691638472652473851413685629897129743,17,14,0.9179479270648301
000009000079052006010080003308000010000208450000000900100060005000000000042003000,hc,253619578879352146614784293398576312421298457576431968189867425365142789742953631,15,16,1.073917399037697
006002801007105000020400000140000080000000003800030206008000005000040002500000630,hc,956872871487165329123493456146259987279648513835731246768927185314546792592381634,16,16,1.0224817977615999
030190080000040000000000103041006700090007002005030000008005910000000005000060047,hc,934195687876243524152678193341526789698817452725439136268745913417983265593162847,16,13,0.8704647737464626
008030500000081700000400000204000010000905406006200000305070040081300050090000630,hc,918637542524981763367425198294763817853915426176248395345176249681392857792854631,13,16,0.9045261373565694
900000001000083700160000020200068047000090000300007290000040300801600000050902000,hc,934265481725183769168479325256368147487192653391547298679841354841653972253972816,17,12,0.7400233244651702
360001200000000009107000008000000025009063000504000000000016000800000900650008300,hc,368741251942685739157329648613897425729563186584214793234916587871532964659478312,12,23,1.4659146363685664
000081000009500006000490000000008009007650080040000200073040090000010007025700030,hc,234681954189527376756493182562238419917654783348179265873342591691815247425796638,11,20,1.2463215522858349
070081000000000190000740000001000089000608051000003400002970040903000008004000006,hc,278981365496325194135746872341572689527698351689413427762971543953836218814254796,16,13,0.8184282830473535
490020000307004020060008903045070030006800010200001000009000000000000601000003004,hc,498726561317534827562918943145472936736859412289361875679148253354297681821653794,14,14,0.9059079163625938
005000090000070400600108007030000000104000320002300918000000060000052000080009004,hc,715534692823976451649128387938215746164497325572386918295831167461752839387649524,13,20,1.251841557192492
090050610600900000080001000503000048006200700000030500000020085070609000000000000,hc,495852617631974238782361495523197648896248713147536529614425985378619372259783164,14,17,1.1224863310989548
030000005000000086000100400400090200300000600020054070100085300000006700600002004,hc,431678925275943186869125437418396253359287641726154879147985362592436718683712594,9,15,0.9483897319019832
900000050410700600003000089004250006000000103006000020000005900560079000020000000,hc,986541352412738617753692489174253896295487153836916724841325975563879461927164238,15,16,1.0486915988369816
800006304000000000040090001309060000000700006021800050002470000400008700000001040,hc,891756324273412586546893791359164287784735916621829453932475168465938732817261945,18,16,0.995443995950211
000000049004500800020008500030084006056000000000010002970800060000002000800100400,hc,586237149394561827721948563739284516256769384148315972973854261415692738862173495,9,23,1.4276523801354557
000080200030010040500600000050009026000000000000400700800000002004003061001790000,hc,176485289239317645548629137457139826312568914698472753835246792924853561761791348,14,18,1.2234828653180898
000000005000801002050020060000400700540038200000000008900000400200010086086000090,hc,812546375694831982357729164839462745546138291721975638973258417245317586186694293,20,12,0.7653095691640743
000000620063008001007090080600400050400070302000500060008000010720003000000004005,hc,584317629963248571127695483631429758452871392879563164348256917725193846916784235,7,21,1.264925124377882
060000000000006380000307000000000200007004001800093407076001030020040000401000002,hc,368452719259816384714397625435781296167524831892693457976251938523948167481637542,15,18,1.1306898939465668
080020700000051030309008000000200000000000209405003008000400000207000040000009120,hc,186924751742651839359378462891245673637896219425173548563412987217587346984639125,14,18,1.1834801630934777
002000004050000200100007000008010907900300060300000800040298000000500000800000390,hc,982351674753482219164967538628816947914375263375429851341298786596573124827614395,18,18,1.1556894717239743
704906000000000600060205090600800002009070140080004050000030000000001060000509200,hc,734916528291487637865235491651893782379572146482164953146238375523741869987569214,13,18,1.132139673013043
000628000075004000030070000000000000001400860000010732010000080600090000008003021,hc,194628357275194648836375291362758419571432865489916732913267584625891673748543921,12,13,0.8557025384022552
000000006000008040019000300000000081002000050400500600076203400200006030080070005,hc,347159526628738941519624378793462281162897354485531697976213462251846739384975815,14,17,1.2081295183373442
300740000000000300000280014070000500008920000090001030000000490410052070000300005,hc,386741752241539369759286814372854526168927984594361137625178493413452678987396215,20,14,0.9178119269439406
300062504000000006001000080010400090008000000906007050000205309080000100030049000,hc,392162574854793126761584983512436798478951632936827451647215389289378165135649247,8,19,1.1647645909018536
760000020000700030300520008000100009000000051200040600013000000000400500029060000,hc,765813924928746135314529678586172439749638751231945682413287296657493518829561347,14,18,1.1902397246575305
900001400020060080800040073060218000000000010000000007004000009100904300200070000,hc,973521461421763589865849273764218935589376412312495687654682719138954326297173854,13,19,1.1758557118717334
003980000040200005006500000090800010008004000000000030000001050004009320007000600,hc,573986162849213475216547893392875716168324589745169234231481957684759321957632648,11,23,1.5441311503387993
030200060000000100000008000007040021008005000010000050004000000000030670600709803,hc,135297264789463158246158397567943821428615739913872456374826915891534672652719843,7,24,1.614805435382607
518000000000003000600100070200049000000700030700000064000604008091000050000020100,hc,518298463379463825642175971265349712184786539739512864657634298491857356823921147,14,21,1.336822077175185
600000900048060500009004000000006097102080000050400001000900800000108050000000003,hc,623719984548362571179854326438216597192587638756493241367945812214138759985627463,12,18,1.1989308434940966
090340002000000900000002000007000500001000003500800670030060080600430021000009050,hc,195346872274158963683792145347619584861275293529834671932561487658437921714829356,12,13,0.8382834118074811
000000570051000006000908000000001390870000060906040000000000010000460000020307400,hc,492136578851274936763958142235761394874892561916543827543289716197465283628317459,9,18,1.191609948097721
700006200000000001400092600000801070002000105000040009000030700009100003038070000,hc,729386254386415971451792638894821376672953145513647829165839712749162583238574496,12,13,0.8216385081231152
